model,seed,attack,objective_mode,target_class,attack_roi,attack_run,baseline_run,validation_status,baseline_mAP50,attack_mAP50,mAP50_drop,mAP50_effectiveness,baseline_avg_conf,attack_avg_conf,avg_conf_drop,avg_conf_effectiveness,baseline_total_detections,attack_total_detections,detection_drop,defense,defended_run,defended_mAP50,mAP50_recovery_normalized,defended_avg_conf,avg_conf_recovery_normalized,defended_total_detections,detection_recovery_normalized,bootstrap_det_drop_lower,bootstrap_det_drop_upper,bootstrap_det_drop_ci_computed,bootstrap_conf_drop_lower,bootstrap_conf_drop_upper,bootstrap_conf_drop_ci_computed
yolo,42,deepfool,untargeted_conf_suppression,,,consistency_atk_deepfool,baseline_none,missing,,,,,0.762253,0.731537,0.030716,0.040296,100,38,0.620000,median_preprocess,tune_def_median_preprocess_004,,,0.910783,5.195268,2,-0.256410,,,false,,,false
yolo,42,deepfool,untargeted_conf_suppression,,,consistency_atk_deepfool,baseline_none,missing,,,,,0.762253,0.731537,0.030716,0.040296,100,38,0.620000,median_preprocess,tune_def_median_preprocess_005,,,0.861873,3.813809,4,-0.230769,,,false,,,false
yolo,42,deepfool,untargeted_conf_suppression,,,consistency_atk_deepfool,baseline_none,missing,,,,,0.762253,0.731537,0.030716,0.040296,100,38,0.620000,median_preprocess,tune_def_median_preprocess_006,,,0.795657,1.943494,2,-0.256410,,,false,,,false
yolo,42,deepfool,untargeted_conf_suppression,,,consistency_atk_deepfool,baseline_none,missing,,,,,0.762253,0.731537,0.030716,0.040296,100,38,0.620000,median_preprocess,tune_def_median_preprocess_007,,,0.868216,3.992969,4,-0.230769,,,false,,,false
yolo,42,deepfool,untargeted_conf_suppression,,,consistency_atk_deepfool,baseline_none,missing,,,,,0.762253,0.731537,0.030716,0.040296,100,38,0.620000,bit_depth,validate_deepfool_bit_depth,0.222240,,0.736680,0.277678,262,3.076923,,,false,,,false
yolo,42,deepfool,untargeted_conf_suppression,,,consistency_atk_deepfool,baseline_none,missing,,,,,0.762253,0.731537,0.030716,0.040296,100,38,0.620000,c_dog,validate_deepfool_c_dog,0.127994,,0.735506,0.244536,112,1.153846,,,false,,,false
yolo,42,deepfool,untargeted_conf_suppression,,,consistency_atk_deepfool,baseline_none,missing,,,,,0.762253,0.731537,0.030716,0.040296,100,38,0.620000,jpeg_preprocess,validate_deepfool_jpeg_preprocess,0.196715,,0.748463,0.610498,224,2.589744,,,false,,,false
yolo,42,deepfool,untargeted_conf_suppression,,,consistency_atk_deepfool,baseline_none,missing,,,,,0.762253,0.731537,0.030716,0.040296,100,38,0.620000,median_preprocess,validate_deepfool_median_preprocess,0.064921,,0.697464,-0.829981,61,0.500000,,,false,,,false
yolo,42,blur,,,,tune_atk_blur_001,baseline_none,missing,,,,,0.762253,0.725990,0.036263,0.047574,100,6,0.940000,bit_depth,defended_blur_bit_depth,,,0.749282,-1.312162,73,0.000000,,,false,,,false
yolo,42,blur,,,,tune_atk_blur_001,baseline_none,missing,,,,,0.762253,0.725990,0.036263,0.047574,100,6,0.940000,c_dog,defended_blur_c_dog,,,0.747541,-1.622553,61,-0.444444,,,false,,,false
yolo,42,blur,,,,tune_atk_blur_001,baseline_none,missing,,,,,0.762253,0.725990,0.036263,0.047574,100,6,0.940000,jpeg_preprocess,defended_blur_jpeg_preprocess,,,0.756446,-0.035107,71,-0.074074,,,false,,,false
yolo,42,blur,,,,tune_atk_blur_001,baseline_none,missing,,,,,0.762253,0.725990,0.036263,0.047574,100,6,0.940000,median_preprocess,defended_blur_median_preprocess,,,0.751050,-0.997034,71,-0.074074,,,false,,,false
yolo,42,blur,,,,tune_atk_blur_001,baseline_none,missing,,,,,0.762253,0.725990,0.036263,0.047574,100,6,0.940000,bit_depth,validate_blur_bit_depth,0.263079,,0.733843,-4.064316,538,17.222222,,,false,,,false
yolo,42,blur,,,,tune_atk_blur_001,baseline_none,missing,,,,,0.762253,0.725990,0.036263,0.047574,100,6,0.940000,c_dog,validate_blur_c_dog,0.176276,,0.715521,-7.330364,294,8.185185,,,false,,,false
yolo,42,blur,,,,tune_atk_blur_001,baseline_none,missing,,,,,0.762253,0.725990,0.036263,0.047574,100,6,0.940000,jpeg_preprocess,validate_blur_jpeg_preprocess,0.260464,,0.731447,-4.491374,539,17.259259,,,false,,,false
yolo,42,blur,,,,tune_atk_blur_001,baseline_none,missing,,,,,0.762253,0.725990,0.036263,0.047574,100,6,0.940000,median_preprocess,validate_blur_median_preprocess,0.217338,,0.741212,-2.750654,444,13.740741,,,false,,,false
yolo,42,blur,,,,tune_atk_blur_002,baseline_none,missing,,,,,0.762253,0.762629,-0.000377,-0.000494,100,5,0.950000,bit_depth,defended_blur_bit_depth,,,0.749282,-1.312162,73,0.000000,,,false,,,false
yolo,42,blur,,,,tune_atk_blur_002,baseline_none,missing,,,,,0.762253,0.762629,-0.000377,-0.000494,100,5,0.950000,c_dog,defended_blur_c_dog,,,0.747541,-1.622553,61,-0.444444,,,false,,,false
yolo,42,blur,,,,tune_atk_blur_002,baseline_none,missing,,,,,0.762253,0.762629,-0.000377,-0.000494,100,5,0.950000,jpeg_preprocess,defended_blur_jpeg_preprocess,,,0.756446,-0.035107,71,-0.074074,,,false,,,false
